iter	RMSE
0	19020.06339
1	16804.76293
2	14592.76641
3	13650.79889
4	12726.88499
5	12513.93148
6	12338.41973
7	12152.46997
8	11465.92456
9	10745.7377
10	10543.05476
11	10203.83445
12	9777.787151
13	9317.564211
14	9204.464461
15	8721.665806
16	8437.438162
17	8144.344504
18	7854.334625
19	7638.793481
20	7303.17457
21	7258.969851
22	7220.837066
23	7123.023056
24	7082.77802
25	7039.903535
26	6792.70404
27	6712.463892
28	6635.998445
29	6584.705724
30	6436.923772
31	6147.938734
32	6076.370863
33	5970.641063
34	5872.841672
35	5735.416694
36	5669.751345
37	5494.97734
38	5438.568554
39	5412.176976
40	5383.990977
41	5363.070772
42	5323.310965
43	5310.990479
44	5245.977925
45	5149.414817
46	5025.990256
47	4896.123727
48	4820.435961
49	4703.884974
50	4687.790825
51	4650.331227
52	4620.613253
53	4575.168328
54	4552.923093
55	4522.292272
56	4433.309895
57	4402.309868
58	4314.634788
59	4253.062097
60	4244.013668
61	4196.283751
62	4183.450206
63	4069.928524
64	4031.24744
65	4029.407683
66	4017.310302
67	3976.13626
68	3915.154574
69	3854.374994
70	3849.638036
71	3795.111303
72	3723.999018
73	3721.80221
74	3699.728627
75	3633.226283
76	3567.371078
77	3515.077487
78	3472.053905
79	3452.726728
80	3451.157323
81	3392.593688
82	3343.573671
83	3257.917793
84	3216.529498
85	3204.139742
86	3180.379676
87	3134.633599
88	3117.448503
89	3097.504014
90	3056.666315
91	3028.216079
92	3010.022546
93	2983.793482
94	2950.656523
95	2921.335592
96	2893.49804
97	2872.713257
98	2805.4693
99	2792.793657
100	2785.183942
101	2749.730943
102	2732.292348
103	2718.577708
104	2694.693022
105	2691.942769
106	2666.714279
107	2644.490062
108	2622.088741
109	2604.302364
110	2578.095496
111	2573.243134
112	2572.903098
113	2555.399897
114	2539.891311
115	2523.778166
116	2510.259907
117	2498.594573
118	2480.838571
119	2462.5026
120	2452.75025
121	2450.349152
122	2446.06685
123	2444.144326
124	2430.928589
125	2429.24769
126	2412.662956
127	2405.288977
128	2400.594679
129	2391.990708
130	2385.086836
131	2381.749837
132	2354.544663
133	2339.672036
134	2321.381858
135	2309.824268
136	2291.896465
137	2290.976396
138	2285.324558
139	2282.816462
140	2275.676215
141	2266.078818
142	2260.666407
143	2250.015284
144	2243.578388
145	2232.730454
146	2232.313375
147	2230.436316
148	2221.963137
149	2214.955016
150	2211.460017
151	2209.159143
152	2196.490857
153	2193.325756
154	2187.839893
155	2182.237861
156	2175.743791
157	2167.905908
158	2157.130851
159	2154.000334
160	2144.442018
161	2141.478314
162	2133.026658
163	2130.42074
164	2105.862324
165	2101.549772
166	2096.248931
167	2095.548905
168	2095.4284
169	2086.292569
