iter	Passed	Remaining
0	1	228
1	3	319
2	6	365
3	9	381
4	11	388
5	14	395
6	16	384
7	17	355
8	20	373
9	23	380
10	26	383
11	29	384
12	32	387
13	34	386
14	37	385
15	39	384
16	43	387
17	46	390
18	49	390
19	52	390
20	54	390
21	58	390
22	59	378
23	62	378
24	65	379
25	68	378
26	71	378
27	72	370
28	76	369
29	79	368
30	82	367
31	84	365
32	87	363
33	90	362
34	93	361
35	96	359
36	99	356
37	101	353
38	104	351
39	107	349
40	110	348
41	113	347
42	116	343
43	119	341
44	121	338
45	124	335
46	127	333
47	130	331
48	133	328
49	136	326
50	139	324
51	142	322
52	145	320
53	147	317
54	150	314
55	152	311
56	155	308
57	158	306
58	161	303
59	163	300
60	166	298
61	169	296
62	173	293
63	176	291
64	178	289
65	181	286
66	184	284
67	187	281
68	191	279
69	194	277
70	197	274
71	200	272
72	203	270
73	205	267
74	208	263
75	210	260
76	214	258
77	217	255
78	219	252
79	222	250
80	225	247
81	227	244
82	230	241
83	233	239
84	236	236
85	239	233
86	241	230
87	245	228
88	247	225
89	250	222
90	253	220
91	256	217
92	259	214
93	262	211
94	264	209
95	267	206
96	270	203
97	274	201
98	277	198
99	279	195
100	282	193
101	285	190
102	287	187
103	290	184
104	294	182
105	296	179
106	299	176
107	302	173
108	307	171
109	310	169
110	313	166
111	316	163
112	318	160
113	324	159
114	327	156
115	330	153
116	333	151
117	336	148
118	338	145
119	341	142
120	344	139
121	347	136
122	350	133
123	352	130
124	356	128
125	359	125
126	361	122
127	364	119
128	369	117
129	373	114
130	376	112
131	379	109
132	382	106
133	386	103
134	390	101
135	392	98
136	396	95
137	413	95
138	417	93
139	422	90
140	424	87
141	430	84
142	433	81
143	437	78
144	439	75
145	442	72
146	445	69
147	448	66
148	450	63
149	453	60
150	456	57
151	458	54
152	461	51
153	463	48
154	464	44
155	467	41
156	470	38
157	473	35
158	476	32
159	478	29
160	481	26
161	484	23
162	486	20
163	489	17
164	492	14
165	494	11
166	497	8
167	500	5
168	503	2
169	505	0
